,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
1323,Quincy Pondexter,SF,['NOH' 'MEM' 'TOT' 'NOP' 'CHI' 'SAS'],47.8,8.7,16.6,1.7,4.2,41.0,0.7,2.0,32.1,1.0,2.2,47.5,48.0,0.8,1.1,75.1,0.6,1.3,1.9,0.9,0.3,0.2,0.6,1.4,4.9,22,30,7,0
1324,Andy Rautins,SG,NYK,5.0,0.0,4.8,0.6,1.4,42.9,0.2,0.8,25.0,0.4,0.6,66.7,50.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,24,24,1,0
1325,Samardo Samuels,C,CLE,36.3,3.7,15.0,2.0,4.7,42.6,0.0,0.1,0.0,2.0,4.7,43.0,42.6,1.4,2.2,63.4,1.3,1.8,3.1,0.4,0.3,0.4,0.9,2.1,5.5,22,24,3,0
1326,Larry Sanders,C,['MIL' 'CLE'],39.7,18.8,17.3,2.4,5.1,43.6,0.0,0.0,0.0,2.4,5.1,43.7,43.6,0.7,1.3,60.4,1.8,3.1,5.0,0.6,0.6,1.5,0.8,2.7,5.6,22,28,6,0
1327,Kevin Séraphin,C,['WAS' 'NYK' 'IND'],60.4,4.9,14.6,2.6,5.2,48.9,0.0,0.0,0.0,2.6,5.2,49.1,48.9,0.6,0.8,73.1,1.2,2.2,3.3,0.6,0.2,0.7,1.0,2.0,5.7,21,27,7,0
1328,Mustafa Shakur,PG,['WAS' 'OKC'],12.5,0.0,5.4,0.5,1.8,17.8,0.0,0.4,5.0,0.4,1.5,20.4,18.2,0.4,0.7,51.6,0.2,0.4,0.5,1.2,0.1,0.0,0.8,0.7,1.3,26,29,2,0
1329,Garret Siler,C,PHO,21.0,0.0,4.8,0.8,1.5,54.8,0.0,0.0,,0.8,1.5,54.8,54.8,0.5,1.0,50.0,0.8,0.6,1.3,0.1,0.0,0.2,0.5,1.0,2.1,24,24,1,0
1330,Ish Smith,PG,"['TOT' 'HOU' 'MEM' 'GSW' 'ORL' 'MIL' 'PHO' 'OKC' 'PHI' 'NOP' 'DET' 'WAS'
 'CHO']",43.2,10.1,16.9,2.7,6.4,40.2,0.3,1.0,30.1,2.3,5.3,41.7,42.6,0.6,0.8,62.6,0.3,1.8,2.1,3.4,0.7,0.2,1.1,1.1,6.2,22,33,12,0
1331,Tiago Splitter,C,['SAS' 'ATL' 'PHI'],50.7,21.9,17.6,2.8,5.1,53.8,0.0,0.1,6.7,2.8,5.0,54.4,54.2,1.7,2.4,72.1,1.5,3.1,4.6,1.1,0.5,0.5,1.0,1.8,7.3,26,32,7,0
1332,Lance Stephenson,SG,['IND' 'CHO' 'TOT' 'LAC' 'MEM' 'NOP' 'MIN' 'LAL' 'ATL'],40.4,12.6,20.0,3.0,6.8,43.8,0.5,1.6,26.0,2.6,5.2,48.6,47.0,0.9,1.3,67.0,0.4,2.9,3.3,2.8,0.5,0.1,1.5,1.8,7.4,20,31,10,0
